index;academic year;school year;admission rate;school
192;2024/2025;3;98.24561403508771;408
193;2022/2023;1;100.0;404
194;2022/2023;2;100.0;404
195;2022/2023;3;100.0;404
196;2022/2023;4;100.0;404
197;2022/2023;5;100.0;404
198;2023/2024;1;100.0;404
199;2023/2024;2;100.0;404
200;2023/2024;3;100.0;404
201;2023/2024;4;100.0;404
202;2023/2024;5;100.0;404
203;2024/2025;1;100.0;404
204;2024/2025;2;100.0;404
205;2024/2025;3;100.0;404
206;2024/2025;4;100.0;404
207;2024/2025;5;100.0;404
208;2022/2023;1;100.0;406
209;2022/2023;2;98.4126984126984;406
210;2022/2023;3;100.0;406
211;2022/2023;4;100.0;406
212;2022/2023;5;98.50746268656717;406
213;2023/2024;1;100.0;406
214;2023/2024;2;100.0;406
215;2023/2024;3;100.0;406
216;2023/2024;4;100.0;406
217;2023/2024;5;100.0;406
218;2024/2025;1;100.0;406
219;2024/2025;2;100.0;406
220;2024/2025;3;100.0;406
221;2024/2025;4;100.0;406
222;2024/2025;5;100.0;406
223;2022/2023;1;100.0;407
224;2022/2023;2;100.0;407
225;2022/2023;3;100.0;407
226;2022/2023;4;100.0;407
227;2022/2023;5;100.0;407
228;2023/2024;1;100.0;407
229;2023/2024;2;100.0;407
230;2023/2024;3;100.0;407
231;2023/2024;4;100.0;407
232;2023/2024;5;100.0;407
233;2024/2025;1;100.0;407
234;2024/2025;2;100.0;407
235;2024/2025;3;100.0;407
236;2024/2025;4;100.0;407
237;2024/2025;5;100.0;407
238;2022/2023;1;92.3076923076923;311
239;2022/2023;2;100.0;311
240;2022/2023;3;100.0;311
241;2022/2023;4;100.0;311
242;2022/2023;5;100.0;311
243;2023/2024;1;100.0;311
244;2023/2024;2;100.0;311
245;2023/2024;3;100.0;311
246;2023/2024;4;100.0;311
247;2023/2024;5;100.0;311
248;2024/2025;1;100.0;311
249;2024/2025;2;100.0;311
250;2024/2025;3;100.0;311
251;2024/2025;4;100.0;311
252;2024/2025;5;100.0;311
253;2022/2023;1;100.0;308
254;2022/2023;2;100.0;308
255;2022/2023;3;100.0;308
256;2022/2023;4;100.0;308
257;2022/2023;5;100.0;308
258;2023/2024;1;100.0;308
259;2023/2024;2;100.0;308
260;2023/2024;3;100.0;308
261;2023/2024;4;100.0;308
262;2023/2024;5;100.0;308
263;2024/2025;1;100.0;308
264;2024/2025;2;100.0;308
265;2024/2025;3;100.0;308
266;2024/2025;4;100.0;308
267;2024/2025;5;100.0;308
268;2022/2023;1;100.0;310
269;2022/2023;2;100.0;310
270;2022/2023;3;100.0;310
271;2022/2023;4;100.0;310
272;2022/2023;5;100.0;310
273;2023/2024;1;100.0;310
274;2023/2024;2;100.0;310
275;2023/2024;3;100.0;310
276;2023/2024;4;100.0;310
277;2023/2024;5;100.0;310
278;2024/2025;1;100.0;310
279;2024/2025;2;100.0;310
280;2024/2025;3;100.0;310
281;2024/2025;4;100.0;310
282;2024/2025;5;100.0;310
283;2022/2023;1;100.0;309
284;2022/2023;2;100.0;309
285;2022/2023;3;100.0;309
286;2022/2023;4;0.0;309
287;2022/2023;5;100.0;309
288;2023/2024;1;100.0;309
289;2023/2024;2;100.0;309
290;2023/2024;3;100.0;309
291;2023/2024;4;100.0;309
292;2023/2024;5;0.0;309
293;2024/2025;1;100.0;309
294;2024/2025;2;100.0;309
295;2024/2025;3;100.0;309
296;2024/2025;4;100.0;309
297;2024/2025;5;100.0;309
298;2022/2023;1;100.0;312
299;2022/2023;2;100.0;312
300;2022/2023;3;100.0;312
301;2022/2023;4;100.0;312
302;2022/2023;5;100.0;312
303;2023/2024;1;100.0;312
304;2023/2024;2;100.0;312
305;2023/2024;3;100.0;312
306;2023/2024;4;100.0;312
307;2023/2024;5;100.0;312
308;2024/2025;1;100.0;312
309;2024/2025;2;100.0;312
310;2024/2025;3;100.0;312
311;2024/2025;4;100.0;312
312;2024/2025;5;100.0;312
313;2022/2023;1;100.0;314
314;2022/2023;2;100.0;314
315;2022/2023;3;100.0;314
316;2023/2024;1;100.0;314
317;2023/2024;2;100.0;314
318;2023/2024;3;100.0;314
319;2024/2025;1;100.0;314
320;2024/2025;2;100.0;314
321;2024/2025;3;98.88888888888889;314
322;2022/2023;1;100.0;313
323;2022/2023;2;100.0;313
324;2022/2023;3;100.0;313
325;2022/2023;4;100.0;313
326;2022/2023;5;100.0;313
327;2023/2024;1;100.0;313
328;2023/2024;2;100.0;313
329;2023/2024;3;100.0;313
330;2023/2024;4;100.0;313
331;2023/2024;5;100.0;313
332;2024/2025;1;100.0;313
333;2024/2025;2;100.0;313
334;2024/2025;3;100.0;313
335;2024/2025;4;100.0;313
336;2024/2025;5;100.0;313
337;2022/2023;1;100.0;316
338;2022/2023;2;100.0;316
339;2022/2023;3;100.0;316
340;2023/2024;1;100.0;316
341;2023/2024;2;100.0;316
342;2023/2024;3;100.0;316
343;2024/2025;1;100.0;316
344;2024/2025;2;100.0;316
345;2024/2025;3;100.0;316
346;2022/2023;1;100.0;315
347;2022/2023;2;100.0;315
348;2022/2023;3;100.0;315
349;2023/2024;1;100.0;315
350;2023/2024;2;100.0;315
351;2023/2024;3;100.0;315
352;2024/2025;1;100.0;315
353;2024/2025;2;100.0;315
354;2024/2025;3;100.0;315
355;2022/2023;1;0.0;456
356;2022/2023;2;0.0;456
357;2022/2023;3;66.66666666666666;456
358;2023/2024;1;0.0;456
359;2023/2024;2;0.0;456
360;2023/2024;3;63.1578947368421;456
361;2024/2025;1;0.0;456
362;2024/2025;2;0.0;456
363;2024/2025;3;30.0;456
364;2022/2023;1;93.86503067484662;570
365;2022/2023;2;95.20958083832335;570
366;2022/2023;3;95.27027027027027;570
367;2022/2023;4;97.12230215827337;570
368;2022/2023;5;100.0;570
369;2023/2024;1;92.02453987730061;570
370;2023/2024;2;91.77215189873418;570
371;2023/2024;3;96.27329192546584;570
372;2023/2024;4;100.0;570
373;2023/2024;5;99.26470588235294;570
374;2024/2025;1;86.07594936708861;570
375;2024/2025;2;95.07042253521126;570
376;2024/2025;3;98.58156028368793;570
377;2024/2025;4;99.35483870967742;570
