institute;school;school type
"istituto tecnico tecnologico ""g. marconi"" - rovereto";istituto tecnico per il settore tecnologico;secondaria di secondo grado
"istituto di istruzione ""m. martini"" - mezzolombardo";istituto tecnico per il settore economico;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""f. e g. fontana"" - rovereto";istituto tecnico per il settore economico;secondaria di secondo grado
collegio arcivescovile c.endrici - trento;istituto tecnico per il settore tecnologico;secondaria di secondo grado
"istituto di istruzione ""m. martini"" - mezzolombardo";liceo delle scienze umane opzione economico sociale;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""f. e g. fontana"" - rovereto";istituto tecnico per il settore economico serale;secondaria di secondo grado
"istituto di istruzione ""a. degasperi"" - borgo valsugana";liceo scientifico opzione scienze applicate;secondaria di secondo grado
istituto comprensivo di scuola primaria e secondaria di primiero;istituto tecnico per il settore economico;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""g. floriani"" - riva del garda";istituto tecnico per il settore economico serale;secondaria di secondo grado
"istituto di istruzione ""l. guetti"" - tione di trento";liceo delle scienze umane;secondaria di secondo grado
fondazione edmund mach - istituto agrario san michele all'adige;istituto tecnico per il settore tecnologico;secondaria di secondo grado
"istituto di istruzione ""la rosa bianca"" - cavalese";liceo delle scienze umane opzione economico sociale;secondaria di secondo grado
collegio arcivescovile c.endrici - trento;liceo scientifico arcivescovile - trento;secondaria di secondo grado
"liceo ""a. rosmini"" - trento";liceo delle scienze umane opzione economico sociale;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""g. floriani"" - riva del garda";istituto tecnico per il settore tecnologico serale;secondaria di secondo grado
"istituto di istruzione ""l. guetti"" - tione di trento";istituto tecnico per il settore economico;secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";liceo scientifico;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""c.a. pilati"" - cles";istituto tecnico per il settore economico;secondaria di secondo grado
istituto comprensivo di scuola primaria e secondaria di primiero;liceo scientifico opzione scienze applicate;secondaria di secondo grado
"istituto di istruzione ""l. guetti"" - tione di trento";istituto tecnico per il settore tecnologico serale;secondaria di secondo grado
"liceo scientifico ""g. galilei"" - trento";liceo scientifico;secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";istituto tecnico per il settore economico - levico;secondaria di secondo grado
"liceo classico ""g. prati"" - trento";liceo classico;secondaria di secondo grado
"istituto di istruzione ""la rosa bianca"" - cavalese";istituto tecnico per il settore tecnologico serale - predazzo;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""c.a. pilati"" - cles";istituto tecnico per il settore tecnologico serale;secondaria di secondo grado
"istituto di istruzione ""l. guetti"" - tione di trento";liceo scientifico opzione scienze applicate;secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";liceo linguistico;secondaria di secondo grado
"istituto di istruzione ""la rosa bianca"" - cavalese";liceo delle scienze umane;secondaria di secondo grado
"istituto di istruzione ""la rosa bianca"" - cavalese";liceo linguistico;secondaria di secondo grado
"istituto di istruzione ""l. guetti"" - tione di trento";istituto tecnico per il settore economico serale;secondaria di secondo grado
"istituto di istruzione ""m. martini"" - mezzolombardo";istituto tecnico per il settore economico serale;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""g. floriani"" - riva del garda";istituto tecnico per il settore economico;secondaria di secondo grado
"societa' cooperativa a r.l. ""i. de carneri"" oxford civezzano";istituto professionale per il settore dei servizi;secondaria di secondo grado
"societa' cooperativa a r.l. ""i. de carneri"" oxford civezzano";istituto tecnico per il settore economico;secondaria di secondo grado
"istituto di istruzione ""a. degasperi"" - borgo valsugana";liceo delle scienze umane;secondaria di secondo grado
"istituto di istruzione ""l. guetti"" - tione di trento";liceo linguistico;secondaria di secondo grado
"istituto tecnico economico ""a. tambosi"" - trento";istituto tecnico per il settore economico serale;secondaria di secondo grado
"istituto tecnico economico ""a. tambosi"" - trento";istituto tecnico per il settore economico;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""f. e g. fontana"" - rovereto";istituto tecnico per il settore tecnologico serale;secondaria di secondo grado
"istituto tecnico tecnologico ""g. marconi"" - rovereto";istituto tecnico per il settore tecnologico serale;secondaria di secondo grado
"liceo ""a. rosmini"" - trento";liceo delle scienze umane;secondaria di secondo grado
collegio arcivescovile dame inglesi - rovereto;liceo linguistico arcivescovile dame inglesi - rovereto;secondaria di secondo grado
"liceo scientifico ""g. galilei"" - trento";liceo scientifico opzione scienze applicate;secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";istituto tecnico per il settore tecnologico serale;secondaria di secondo grado
"liceo ""a. rosmini"" - rovereto";liceo scientifico;secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";istituto tecnico per il settore tecnologico;secondaria di secondo grado
collegio arcivescovile c.endrici - trento;liceo classico arcivescovile - trento;secondaria di secondo grado
"istituto di istruzione ""m. martini"" - mezzolombardo";liceo scientifico;secondaria di secondo grado
"liceo scientifico ""l. da vinci"" - trento";liceo scientifico;secondaria di secondo grado
"liceo scientifico ""l. da vinci"" - trento";liceo scientifico opzione scienze applicate;secondaria di secondo grado
"liceo ""b. russell"" - cles";liceo delle scienze umane opzione economico sociale;secondaria di secondo grado
"istituto tecnico tecnologico ""m. buonarroti"" - trento";istituto tecnico per il settore tecnologico serale;secondaria di secondo grado
"liceo ""b. russell"" - cles";liceo scientifico;secondaria di secondo grado
"liceo ""b. russell"" - cles";liceo scientifico opzione scienze applicate;secondaria di secondo grado
"liceo ""b. russell"" - cles";liceo delle scienze umane;secondaria di secondo grado
"liceo ""b. russell"" - cles";liceo classico;secondaria di secondo grado
"istituto tecnico tecnologico ""m. buonarroti"" - trento";istituto tecnico per il settore tecnologico;secondaria di secondo grado
"liceo ""b. russell"" - cles";liceo linguistico;secondaria di secondo grado
scuola ladina di fassa - scola ladina de fascia;liceo artistico;secondaria di secondo grado
istituto gardascuola;liceo scientifico opzione scienze applicate;secondaria di secondo grado
istituto gardascuola;istituto tecnico per il settore economico;secondaria di secondo grado
"liceo delle arti di trento e rovereto ""vittoria-bonporti-depero""";"liceo artistico ""vittoria"" - trento";secondaria di secondo grado
"liceo delle arti di trento e rovereto ""vittoria-bonporti-depero""";liceo musicale coreutico ;secondaria di secondo grado
"liceo delle arti di trento e rovereto ""vittoria-bonporti-depero""";"liceo artistico ""depero""- rovereto";secondaria di secondo grado
"istituto di istruzione ""don l.milani"" - rovereto";istituto tecnico per il settore economico;secondaria di secondo grado
"istituto di istruzione ""don l.milani"" - rovereto";istituto tecnico per il settore economico serale;secondaria di secondo grado
centro formazione professionale enaip - villazzano;capes - settore industria e artigianato;secondaria di secondo grado
"istituto di istruzione ""don l.milani"" - rovereto";istituto professionale per il settore dei servizi serale;secondaria di secondo grado
"istituto di istruzione ""a. degasperi"" - borgo valsugana";istituto professionale per i servizi sanitari serale;secondaria di secondo grado
"istituto di istruzione ""don l.milani"" - rovereto";istituto professionale per il settore dei servizi;secondaria di secondo grado
istituto sacro cuore - trento;liceo artistico;secondaria di secondo grado
istituto sacro cuore - trento;liceo delle scienze umane;secondaria di secondo grado
istituto sacro cuore - trento;liceo scientifico opzione scienze applicate ;secondaria di secondo grado
polo giuseppe veronesi;capes - settore industria e artigianato;secondaria di secondo grado
polo giuseppe veronesi;liceo scientifico opzione scienze applicate steam;secondaria di secondo grado
"liceo ""a. rosmini"" - trento";liceo delle scienze umane opzione economico sociale serale;secondaria di secondo grado
centro formazione professionale pavoniano artigianelli - trento;capes - settore industria e artigianato;secondaria di secondo grado
"liceo ""a. maffei"" - riva del garda";liceo delle scienze umane;secondaria di secondo grado
"liceo ""a. maffei"" - riva del garda";liceo classico;secondaria di secondo grado
"liceo ""a. maffei"" - riva del garda";liceo scientifico opzione scienze applicate;secondaria di secondo grado
"liceo ""f. filzi"" - rovereto";liceo delle scienze umane opzione economico sociale;secondaria di secondo grado
centro formazione professionale enaip - ossana;capes - settore servizi;secondaria di secondo grado
"liceo ""f. filzi"" - rovereto";liceo delle scienze umane;secondaria di secondo grado
"liceo ""a. maffei"" - riva del garda";liceo linguistico;secondaria di secondo grado
"liceo ""a. maffei"" - riva del garda";liceo musicale e coreutico;secondaria di secondo grado
"liceo ""a. maffei"" - riva del garda";liceo scientifico;secondaria di secondo grado
"istituto di istruzione ""la rosa bianca"" - cavalese";istituto tecnico per il settore economico serale - predazzo;secondaria di secondo grado
"liceo ""a. rosmini"" - trento";liceo del made in italy;secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";istituto tecnico per il settore economico serale;secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";liceo del made in italy;secondaria di secondo grado
centro formazione professionale upt - rovereto;capes - settore servizi;secondaria di secondo grado
"liceo ""a. rosmini"" - trento";cc educazione adulti secondo ciclo les;secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";liceo delle scienze umane opzione economico sociale;secondaria di secondo grado
associazione pedagogica steineriana - trento;"liceo delle scienze umane ""scuola steiner"" trento";secondaria di secondo grado
"istituto di istruzione ""m. curie"" - pergine valsugana";istituto tecnico per il settore economico - pergine;secondaria di secondo grado
centro formazione professionale enaip - arco;capes - settore industria e artigianato;secondaria di secondo grado
"istituto tecnico economico e tecnologico ""f. e g. fontana"" - rovereto";istituto tecnico per il settore tecnologico;secondaria di secondo grado
"centro formazione professionale ""centromoda canossa"" ";capes - settore industria e artigianato;secondaria di secondo grado
centro formazione professionale enaip - tesero;capes - settore servizi;secondaria di secondo grado
centro formazione professionale upt - cles;capes - settore servizi;secondaria di secondo grado
centro formazione professionale upt - tione di trento;capes - settore servizi;secondaria di secondo grado
centro formazione professionale upt - arco;capes - settore servizi;secondaria di secondo grado
"istituto di formazione professionale alberghiero ""giuseppe cipriani""- levico";capes - settore servizi;secondaria di secondo grado
centro formazione professionale enaip - borgo valsugana;capes - settore industria e artigianato;secondaria di secondo grado
centro formazione professionale opera armida barelli - rovereto;capes - settore servizi;secondaria di secondo grado
istituto gardascuola;istituto tecnico per il settore tecnologico;secondaria di secondo grado
istituto di formazione professionale alberghiero - rovereto;capes - settore servizi;secondaria di secondo grado
"istituto di formazione professionale servizi alla persona e legno ""s. pertini"" ";capes - settore servizi;secondaria di secondo grado
centro formazione professionale upt - trento;capes - settore servizi;secondaria di secondo grado
"liceo ""b. russell"" - cles";liceo del made in italy;secondaria di secondo grado
centro formazione professionale enaip - varone di riva del garda;capes - settore servizi;secondaria di secondo grado
centro formazione professionale enaip - tione di trento;capes - settore industria e artigianato;secondaria di secondo grado
centro formazione professionale enaip - tione di trento;capes - settore servizi;secondaria di secondo grado
"istituto di istruzione ""m. martini"" - mezzolombardo";liceo del made in italy;secondaria di secondo grado
fondazione edmund mach - istituto agrario san michele all'adige;capes - settore agricoltura e ambiente;secondaria di secondo grado
