municipality
san giovanni di fassa - sen jan
contá
soraga - soraga
fierozzo - vlarötz
luserna - lusérn
male'
ruffre' - mendola
campitello di fassa - ciampedel
fiave'
canazei - cianacei
rovere' della luna
baselga di pine'
moena - moena
