index;academic year;school year;number of students;number of classes;school
865;2025/2026;2;48;2;394
866;2025/2026;3;32;2;394
867;2025/2026;4;41;2;394
868;2025/2026;5;48;2;394
869;2024/2025;1;47;2;394
870;2024/2025;2;29;2;394
871;2024/2025;3;41;2;394
872;2024/2025;4;49;2;394
873;2024/2025;5;38;2;394
874;2023/2024;1;28;2;394
875;2023/2024;2;40;2;394
876;2023/2024;3;49;2;394
877;2023/2024;4;38;2;394
878;2023/2024;5;43;2;394
879;2025/2026;1;168;8;396
880;2025/2026;2;164;8;396
881;2025/2026;3;174;8;396
882;2024/2025;1;170;8;396
883;2024/2025;2;176;8;396
884;2024/2025;3;159;7;396
885;2023/2024;1;172;8;396
886;2023/2024;2;161;7;396
887;2023/2024;3;189;9;396
888;2025/2026;1;56;3;395
889;2025/2026;2;60;3;395
890;2025/2026;3;61;3;395
891;2025/2026;4;64;3;395
892;2025/2026;5;67;3;395
893;2024/2025;1;60;3;395
894;2024/2025;2;59;3;395
895;2024/2025;3;62;3;395
896;2024/2025;4;66;3;395
897;2024/2025;5;65;3;395
898;2023/2024;1;58;3;395
899;2023/2024;2;62;3;395
900;2023/2024;3;69;3;395
901;2023/2024;4;66;3;395
902;2023/2024;5;64;3;395
903;2025/2026;0;55;0;717
904;2024/2025;0;44;0;717
905;2023/2024;0;41;0;717
906;2025/2026;0;61;0;591
907;2024/2025;0;73;0;591
908;2023/2024;0;72;0;591
909;2025/2026;0;22;0;675
910;2024/2025;0;29;0;675
911;2023/2024;0;38;0;675
912;2025/2026;0;13;0;682
913;2024/2025;0;17;0;682
914;2023/2024;0;21;0;682
915;2025/2026;0;28;0;701
916;2024/2025;0;32;0;701
917;2023/2024;0;32;0;701
918;2025/2026;0;81;0;665
919;2024/2025;0;89;0;665
920;2023/2024;0;70;0;665
921;2025/2026;0;43;0;681
922;2024/2025;0;42;0;681
923;2023/2024;0;37;0;681
924;2025/2026;0;82;0;659
925;2024/2025;0;86;0;659
926;2023/2024;0;83;0;659
927;2025/2026;1;40;2;213
928;2025/2026;2;39;2;213
929;2025/2026;3;34;2;213
930;2025/2026;4;35;2;213
931;2025/2026;5;36;2;213
932;2024/2025;1;39;2;213
933;2024/2025;2;34;2;213
934;2024/2025;3;34;2;213
935;2024/2025;4;37;2;213
936;2024/2025;5;33;2;213
937;2023/2024;1;34;2;213
938;2023/2024;2;33;2;213
939;2023/2024;3;37;2;213
940;2023/2024;4;33;2;213
941;2023/2024;5;35;2;213
942;2025/2026;0;60;0;603
943;2024/2025;0;62;0;603
944;2023/2024;0;67;0;603
945;2025/2026;0;160;0;645
946;2024/2025;0;167;0;645
947;2023/2024;0;169;0;645
948;2025/2026;1;34;2;214
949;2025/2026;2;38;2;214
950;2025/2026;3;37;2;214
951;2024/2025;1;39;2;214
952;2024/2025;2;37;2;214
953;2024/2025;3;38;2;214
954;2023/2024;1;35;2;214
955;2023/2024;2;34;2;214
956;2023/2024;3;46;2;214
957;2025/2026;0;18;0;684
958;2024/2025;0;24;0;684
959;2023/2024;0;26;0;684
960;2025/2026;1;63;3;295
961;2025/2026;2;68;3;295
962;2025/2026;3;74;4;295
963;2025/2026;4;59;3;295
964;2025/2026;5;65;3;295
965;2024/2025;1;66;3;295
966;2024/2025;2;74;4;295
967;2024/2025;3;59;3;295
968;2024/2025;4;70;3;295
969;2024/2025;5;63;3;295
970;2023/2024;1;78;4;295
971;2023/2024;2;59;3;295
972;2023/2024;3;69;3;295
973;2023/2024;4;63;3;295
974;2023/2024;5;101;5;295
975;2025/2026;0;71;0;720
976;2024/2025;0;74;0;720
977;2023/2024;0;79;0;720
978;2025/2026;1;18;1;294
979;2025/2026;2;18;1;294
980;2025/2026;3;21;1;294
981;2025/2026;4;26;2;294
982;2025/2026;5;15;1;294
983;2024/2025;1;18;1;294
984;2024/2025;2;21;1;294
985;2024/2025;3;27;2;294
986;2024/2025;4;15;1;294
987;2024/2025;5;27;2;294
988;2023/2024;1;21;1;294
989;2023/2024;2;27;2;294
990;2023/2024;3;15;1;294
991;2023/2024;4;27;2;294
992;2023/2024;5;22;1;294
993;2025/2026;0;35;0;654
994;2024/2025;0;39;0;654
995;2023/2024;0;43;0;654
996;2025/2026;1;18;1;296
997;2025/2026;2;20;1;296
998;2025/2026;3;23;1;296
999;2025/2026;4;14;1;296
1000;2025/2026;5;20;1;296
1001;2024/2025;1;19;1;296
1002;2024/2025;2;23;1;296
1003;2024/2025;3;14;1;296
1004;2024/2025;4;18;1;296
1005;2024/2025;5;21;1;296
1006;2023/2024;1;23;1;296
1007;2023/2024;2;13;1;296
1008;2023/2024;3;20;1;296
1009;2023/2024;4;21;1;296
1010;2023/2024;5;14;1;296
1011;2025/2026;1;114;5;297
1012;2025/2026;2;139;6;297
1013;2025/2026;3;111;5;297
1014;2024/2025;1;142;6;297
1015;2024/2025;2;106;5;297
1016;2024/2025;3;130;6;297
1017;2023/2024;1;105;5;297
1018;2023/2024;2;128;6;297
1019;2023/2024;3;130;6;297
1020;2025/2026;0;19;0;677
1021;2024/2025;0;18;0;677
1022;2023/2024;0;16;0;677
1023;2025/2026;1;14;1;518
1024;2025/2026;2;9;1;518
1025;2025/2026;3;17;1;518
1026;2025/2026;4;8;1;518
1027;2025/2026;5;6;1;518
1028;2024/2025;1;9;1;518
1029;2024/2025;2;17;1;518
1030;2024/2025;3;8;1;518
1031;2024/2025;4;6;1;518
1032;2024/2025;5;13;1;518
1033;2023/2024;1;18;1;518
1034;2023/2024;2;7;1;518
1035;2023/2024;3;5;1;518
1036;2023/2024;4;12;1;518
1037;2023/2024;5;23;1;518
1038;2025/2026;0;54;0;633
1039;2024/2025;0;51;0;633
1040;2023/2024;0;59;0;633
1041;2025/2026;1;23;1;519
1042;2025/2026;2;27;1;519
1043;2025/2026;3;16;1;519
1044;2024/2025;1;27;1;519
1045;2024/2025;2;16;1;519
1046;2024/2025;3;24;1;519
1047;2023/2024;1;15;1;519
1048;2023/2024;2;24;1;519
1049;2023/2024;3;24;1;519
1050;2025/2026;1;14;1;154
1051;2025/2026;2;17;1;154
1052;2025/2026;3;13;1;154
1053;2025/2026;4;14;1;154
1054;2025/2026;5;20;1;154
1055;2024/2025;1;19;1;154
1056;2024/2025;2;18;1;154
1057;2024/2025;3;14;1;154
1058;2024/2025;4;20;1;154
1059;2024/2025;5;12;1;154
1060;2023/2024;1;19;1;154
1061;2023/2024;2;16;1;154
1062;2023/2024;3;22;1;154
1063;2023/2024;4;12;1;154
1064;2023/2024;5;15;1;154
1065;2025/2026;1;48;4;156
1066;2025/2026;2;57;5;156
1067;2025/2026;3;69;5;156
1068;2024/2025;1;58;5;156
1069;2024/2025;2;70;5;156
1070;2024/2025;3;65;5;156
1071;2023/2024;1;72;5;156
1072;2023/2024;2;69;5;156
1073;2023/2024;3;74;5;156
1074;2025/2026;0;36;0;658
1075;2024/2025;0;37;0;658
1076;2023/2024;0;35;0;658
1077;2025/2026;1;26;2;275
1078;2025/2026;2;20;1;275
1079;2025/2026;3;18;1;275
1080;2025/2026;4;24;1;275
1081;2025/2026;5;14;1;275
1082;2024/2025;1;19;1;275
1083;2024/2025;2;18;1;275
1084;2024/2025;3;23;1;275
1085;2024/2025;4;13;1;275
1086;2024/2025;5;23;1;275
1087;2023/2024;1;19;1;275
1088;2023/2024;2;22;1;275
1089;2023/2024;3;13;1;275
1090;2023/2024;4;22;1;275
1091;2023/2024;5;13;1;275
1092;2025/2026;1;16;1;155
1093;2025/2026;2;17;1;155
1094;2025/2026;3;16;1;155
1095;2025/2026;4;21;1;155
1096;2025/2026;5;25;1;155
1097;2024/2025;1;17;1;155
1098;2024/2025;2;15;1;155
1099;2024/2025;3;21;1;155
1100;2024/2025;4;22;1;155
1101;2024/2025;5;23;1;155
1102;2023/2024;1;17;1;155
1103;2023/2024;2;25;1;155
1104;2023/2024;3;22;1;155
1105;2023/2024;4;22;1;155
1106;2023/2024;5;35;2;155
1107;2025/2026;1;14;1;276
1108;2025/2026;2;20;1;276
1109;2025/2026;3;20;1;276
1110;2025/2026;4;16;1;276
1111;2025/2026;5;17;1;276
1112;2024/2025;1;19;1;276
1113;2024/2025;2;21;1;276
1114;2024/2025;3;17;1;276
1115;2024/2025;4;17;1;276
1116;2024/2025;5;13;1;276
1117;2023/2024;1;21;1;276
1118;2023/2024;2;16;1;276
1119;2023/2024;3;17;1;276
1120;2023/2024;4;12;1;276
1121;2023/2024;5;12;1;276
1122;2025/2026;1;15;1;280
1123;2025/2026;2;22;1;280
1124;2025/2026;3;11;1;280
1125;2025/2026;4;14;1;280
1126;2025/2026;5;13;1;280
1127;2024/2025;1;21;1;280
1128;2024/2025;2;13;1;280
1129;2024/2025;3;15;1;280
1130;2024/2025;4;13;1;280
1131;2024/2025;5;21;1;280
1132;2023/2024;1;13;1;280
1133;2023/2024;2;15;1;280
1134;2023/2024;3;14;1;280
1135;2023/2024;4;22;1;280
1136;2023/2024;5;19;1;280
1137;2025/2026;1;5;1;277
1138;2025/2026;2;11;1;277
1139;2025/2026;3;17;1;277
1140;2025/2026;4;18;1;277
1141;2025/2026;5;21;1;277
1142;2024/2025;1;14;1;277
1143;2024/2025;2;17;1;277
1144;2024/2025;3;21;1;277
1145;2024/2025;4;21;1;277
1146;2024/2025;5;15;1;277
1147;2023/2024;1;17;1;277
1148;2023/2024;2;20;1;277
1149;2023/2024;3;21;1;277
1150;2023/2024;4;16;1;277
1151;2023/2024;5;18;1;277
1152;2025/2026;1;6;1;279
1153;2025/2026;2;3;1;279
1154;2025/2026;3;6;1;279
1155;2025/2026;4;3;1;279
1156;2025/2026;5;8;1;279
1157;2024/2025;1;2;1;279
1158;2024/2025;2;5;1;279
1159;2024/2025;3;3;1;279
1160;2024/2025;4;10;1;279
1161;2024/2025;5;6;1;279
1162;2023/2024;1;5;1;279
1163;2023/2024;2;4;1;279
1164;2023/2024;3;10;2;279
1165;2023/2024;4;6;1;279
1166;2023/2024;5;6;1;279
1167;2025/2026;1;13;1;278
1168;2025/2026;2;9;1;278
1169;2025/2026;3;12;1;278
1170;2025/2026;4;12;1;278
1171;2025/2026;5;11;1;278
1172;2024/2025;1;9;1;278
1173;2024/2025;2;12;1;278
1174;2024/2025;3;12;1;278
1175;2024/2025;4;11;1;278
1176;2024/2025;5;15;1;278
1177;2023/2024;1;12;1;278
1178;2023/2024;2;11;1;278
1179;2023/2024;3;11;1;278
1180;2023/2024;4;15;1;278
1181;2023/2024;5;13;1;278
1182;2025/2026;1;6;1;281
1183;2025/2026;2;14;1;281
1184;2025/2026;3;6;1;281
1185;2025/2026;4;9;1;281
1186;2025/2026;5;10;1;281
1187;2024/2025;1;14;1;281
1188;2024/2025;2;7;1;281
1189;2024/2025;3;9;1;281
1190;2024/2025;4;10;1;281
1191;2024/2025;5;8;1;281
1192;2023/2024;1;8;1;281
1193;2023/2024;2;8;1;281
1194;2023/2024;3;10;1;281
1195;2023/2024;4;9;1;281
1196;2023/2024;5;8;1;281
1197;2025/2026;1;46;2;283
1198;2025/2026;2;39;2;283
1199;2025/2026;3;37;2;283
1200;2024/2025;1;36;2;283
1201;2024/2025;2;37;2;283
1202;2024/2025;3;53;3;283
1203;2023/2024;1;39;2;283
1204;2023/2024;2;53;3;283
1205;2023/2024;3;35;2;283
1206;2025/2026;1;70;3;284
1207;2025/2026;2;70;3;284
1208;2025/2026;3;78;4;284
1209;2024/2025;1;71;3;284
1210;2024/2025;2;80;4;284
1211;2024/2025;3;77;4;284
1212;2023/2024;1;78;4;284
1213;2023/2024;2;82;4;284
1214;2023/2024;3;80;4;284
1215;2025/2026;0;99;0;605
1216;2024/2025;0;104;0;605
1217;2023/2024;0;103;0;605
1218;2025/2026;1;6;1;282
1219;2025/2026;2;8;1;282
1220;2025/2026;3;9;1;282
1221;2025/2026;4;13;1;282
1222;2025/2026;5;10;1;282
1223;2024/2025;1;8;1;282
1224;2024/2025;2;9;1;282
1225;2024/2025;3;13;1;282
1226;2024/2025;4;11;1;282
1227;2024/2025;5;9;1;282
1228;2023/2024;1;11;1;282
1229;2023/2024;2;14;1;282
1230;2023/2024;3;12;1;282
1231;2023/2024;4;9;1;282
1232;2023/2024;5;13;1;282
1233;2025/2026;1;16;1;165
1234;2025/2026;2;23;1;165
1235;2025/2026;3;16;1;165
1236;2025/2026;4;23;1;165
1237;2025/2026;5;12;1;165
1238;2024/2025;1;23;1;165
1239;2024/2025;2;16;1;165
1240;2024/2025;3;21;1;165
1241;2024/2025;4;12;1;165
1242;2024/2025;5;23;1;165
1243;2023/2024;1;14;1;165
1244;2023/2024;2;22;1;165
1245;2023/2024;3;13;1;165
1246;2023/2024;4;22;1;165
1247;2023/2024;5;24;1;165
1248;2025/2026;1;43;2;164
1249;2025/2026;2;56;3;164
1250;2025/2026;3;62;3;164
1251;2025/2026;4;65;3;164
1252;2025/2026;5;71;3;164
1253;2024/2025;1;56;3;164
1254;2024/2025;2;63;3;164
1255;2024/2025;3;62;3;164
1256;2024/2025;4;71;3;164
1257;2024/2025;5;65;3;164
1258;2023/2024;1;62;3;164
1259;2023/2024;2;62;3;164
1260;2023/2024;3;71;3;164
1261;2023/2024;4;68;3;164
1262;2023/2024;5;58;3;164
1263;2025/2026;1;84;4;166
1264;2025/2026;2;83;4;166
1265;2025/2026;3;72;4;166
1266;2024/2025;1;83;4;166
1267;2024/2025;2;76;4;166
1268;2024/2025;3;86;4;166
1269;2023/2024;1;74;4;166
1270;2023/2024;2;91;4;166
1271;2023/2024;3;91;4;166
1272;2025/2026;1;118;5;532
1273;2025/2026;2;100;5;532
1274;2025/2026;3;86;4;532
1275;2025/2026;4;76;5;532
1276;2025/2026;5;62;3;532
1277;2024/2025;1;120;5;532
1278;2024/2025;2;98;5;532
1279;2024/2025;3;84;5;532
1280;2024/2025;4;67;3;532
1281;2024/2025;5;54;4;532
1282;2023/2024;1;128;5;532
1283;2023/2024;2;93;4;532
1284;2023/2024;3;71;4;532
1285;2023/2024;4;62;4;532
1286;2023/2024;5;75;4;532
1287;2025/2026;1;75;5;531
1288;2025/2026;3;9;1;531
1289;2025/2026;1;192;5;531
1290;2025/2026;3;9;1;531
1291;2024/2025;1;140;7;531
1292;2024/2025;3;7;1;531
1293;2024/2025;1;393;6;531
1294;2024/2025;3;7;1;531
1295;2023/2024;1;150;5;531
1296;2023/2024;3;15;1;531
1297;2023/2024;1;371;5;531
1298;2023/2024;3;15;1;531
1299;2025/2026;0;28;0;689
1300;2024/2025;0;34;0;689
1301;2023/2024;0;32;0;689
1302;2025/2026;0;164;0;589
1303;2024/2025;0;178;0;589
1304;2023/2024;0;179;0;589
1305;2025/2026;2;9;1;533
1306;2025/2026;3;72;6;533
1307;2025/2026;2;9;1;533
1308;2025/2026;3;24;2;533
1309;2025/2026;4;9;3;533
1310;2025/2026;5;11;2;533
1311;2024/2025;2;14;1;533
1312;2024/2025;3;45;6;533
1313;2024/2025;2;14;1;533
1314;2024/2025;3;15;2;533
1315;2024/2025;4;13;3;533
1316;2024/2025;5;18;2;533
1317;2023/2024;2;12;1;533
1318;2023/2024;3;60;6;533
1319;2023/2024;2;12;1;533
1320;2023/2024;3;20;2;533
1321;2023/2024;4;21;2;533
1322;2023/2024;5;12;2;533
1323;2025/2026;0;21;0;596
1324;2024/2025;0;32;0;596
1325;2023/2024;0;32;0;596
1326;2025/2026;1;47;2;534
1327;2025/2026;2;45;3;534
1328;2025/2026;3;51;6;534
1329;2025/2026;4;46;4;534
1330;2025/2026;5;46;4;534
1331;2024/2025;1;63;3;534
1332;2024/2025;2;51;3;534
1333;2024/2025;3;56;4;534
1334;2024/2025;4;49;4;534
1335;2024/2025;5;30;3;534
1336;2023/2024;1;65;3;534
1337;2023/2024;2;63;4;534
1338;2023/2024;3;65;4;534
1339;2023/2024;4;30;3;534
1340;2023/2024;5;40;5;534
1341;2025/2026;1;12;1;173
1342;2025/2026;2;13;1;173
1343;2025/2026;3;8;1;173
1344;2025/2026;4;14;1;173
1345;2025/2026;5;19;1;173
1346;2024/2025;1;13;1;173
1347;2024/2025;2;8;1;173
1348;2024/2025;3;12;1;173
1349;2024/2025;4;17;1;173
1350;2024/2025;5;19;1;173
1351;2023/2024;1;9;1;173
1352;2023/2024;2;12;1;173
1353;2023/2024;3;19;1;173
1354;2023/2024;4;18;1;173
1355;2023/2024;5;13;1;173
1356;2025/2026;1;10;1;174
1357;2025/2026;2;20;1;174
1358;2025/2026;3;12;1;174
1359;2025/2026;4;15;1;174
1360;2025/2026;5;17;1;174
1361;2024/2025;1;19;1;174
1362;2024/2025;2;12;1;174
1363;2024/2025;3;14;1;174
1364;2024/2025;4;18;1;174
1365;2024/2025;5;13;1;174
1366;2023/2024;1;12;1;174
1367;2023/2024;2;14;1;174
1368;2023/2024;3;18;1;174
1369;2023/2024;4;13;1;174
1370;2023/2024;5;18;1;174
1371;2025/2026;1;1;1;176
1372;2025/2026;2;7;1;176
1373;2025/2026;3;4;1;176
1374;2025/2026;4;4;1;176
1375;2025/2026;5;3;1;176
1376;2024/2025;1;7;1;176
1377;2024/2025;2;4;1;176
1378;2024/2025;3;4;1;176
1379;2024/2025;4;3;1;176
1380;2024/2025;5;5;1;176
1381;2023/2024;1;4;1;176
1382;2023/2024;2;4;1;176
1383;2023/2024;3;3;1;176
1384;2023/2024;4;5;1;176
1385;2023/2024;5;4;1;176
1386;2025/2026;1;10;1;175
1387;2025/2026;2;18;1;175
1388;2025/2026;3;13;1;175
1389;2025/2026;4;14;1;175
1390;2025/2026;5;11;1;175
1391;2024/2025;1;18;1;175
1392;2024/2025;2;13;1;175
1393;2024/2025;3;15;1;175
1394;2024/2025;4;12;1;175
1395;2024/2025;5;15;1;175
1396;2023/2024;1;12;1;175
1397;2023/2024;2;15;1;175
1398;2023/2024;3;11;1;175
1399;2023/2024;4;16;1;175
1400;2023/2024;5;14;1;175
1401;2025/2026;1;7;1;177
1402;2025/2026;2;11;1;177
1403;2025/2026;3;6;1;177
1404;2025/2026;4;12;1;177
1405;2025/2026;5;10;1;177
1406;2024/2025;1;10;1;177
1407;2024/2025;2;6;1;177
1408;2024/2025;3;11;1;177
1409;2024/2025;4;10;1;177
1410;2024/2025;5;10;1;177
1411;2023/2024;1;6;1;177
1412;2023/2024;2;11;1;177
1413;2023/2024;3;10;1;177
1414;2023/2024;4;9;1;177
1415;2023/2024;5;12;1;177
1416;2025/2026;0;84;0;726
1417;2024/2025;0;87;0;726
1418;2023/2024;0;93;0;726
1419;2025/2026;1;58;3;178
1420;2025/2026;2;57;3;178
1421;2025/2026;3;61;3;178
1422;2024/2025;1;58;3;178
1423;2024/2025;2;61;3;178
1424;2024/2025;3;59;3;178
1425;2023/2024;1;62;3;178
1426;2023/2024;2;61;3;178
1427;2023/2024;3;61;3;178
1428;2025/2026;0;30;0;585
1429;2024/2025;0;30;0;585
1430;2023/2024;0;33;0;585
1431;2025/2026;0;25;0;621
1432;2024/2025;0;25;0;621
1433;2023/2024;0;21;0;621
1434;2025/2026;1;13;1;233
1435;2025/2026;2;9;1;233
1436;2025/2026;3;11;1;233
1437;2025/2026;4;11;1;233
1438;2025/2026;5;14;1;233
1439;2024/2025;1;9;1;233
1440;2024/2025;2;10;1;233
1441;2024/2025;3;11;1;233
1442;2024/2025;4;13;1;233
1443;2024/2025;5;15;1;233
1444;2023/2024;1;10;1;233
1445;2023/2024;2;11;1;233
1446;2023/2024;3;11;1;233
1447;2023/2024;4;15;1;233
1448;2023/2024;5;16;1;233
1449;2025/2026;1;15;1;234
1450;2025/2026;2;11;1;234
1451;2025/2026;3;19;1;234
1452;2025/2026;4;18;1;234
1453;2025/2026;5;13;1;234
1454;2024/2025;1;10;1;234
1455;2024/2025;2;19;1;234
1456;2024/2025;3;18;1;234
1457;2024/2025;4;14;1;234
1458;2024/2025;5;17;1;234
1459;2023/2024;1;20;1;234
1460;2023/2024;2;19;1;234
1461;2023/2024;3;15;1;234
1462;2023/2024;4;18;1;234
1463;2023/2024;5;22;1;234
1464;2025/2026;1;8;1;235
1465;2025/2026;2;7;1;235
1466;2025/2026;3;12;1;235
1467;2025/2026;4;11;1;235
1468;2025/2026;5;12;1;235
1469;2024/2025;1;8;1;235
1470;2024/2025;2;12;1;235
1471;2024/2025;3;11;1;235
1472;2024/2025;4;11;1;235
1473;2024/2025;5;14;1;235
1474;2023/2024;1;12;1;235
1475;2023/2024;2;12;1;235
1476;2023/2024;3;12;1;235
1477;2023/2024;4;14;1;235
1478;2023/2024;5;14;1;235
1479;2025/2026;1;18;1;238
1480;2025/2026;2;11;1;238
1481;2025/2026;3;17;1;238
1482;2025/2026;4;25;2;238
1483;2025/2026;5;23;1;238
1484;2024/2025;1;11;1;238
1485;2024/2025;2;17;1;238
1486;2024/2025;3;26;2;238
1487;2024/2025;4;23;1;238
1488;2024/2025;5;18;1;238
1489;2023/2024;1;17;1;238
1490;2023/2024;2;29;2;238
1491;2023/2024;3;22;1;238
1492;2023/2024;4;18;1;238
1493;2023/2024;5;14;1;238
1494;2025/2026;1;14;1;236
1495;2025/2026;2;7;1;236
1496;2025/2026;3;15;1;236
1497;2025/2026;4;8;1;236
1498;2025/2026;5;16;1;236
1499;2024/2025;1;8;1;236
1500;2024/2025;2;14;1;236
1501;2024/2025;3;6;2;236
1502;2024/2025;4;16;1;236
1503;2024/2025;5;5;1;236
1504;2023/2024;1;12;1;236
1505;2023/2024;2;5;2;236
1506;2023/2024;3;16;2;236
1507;2023/2024;4;5;1;236
1508;2023/2024;5;12;1;236
1509;2025/2026;1;10;1;239
1510;2025/2026;2;3;1;239
1511;2025/2026;3;12;1;239
1512;2025/2026;4;9;1;239
1513;2025/2026;5;15;1;239
1514;2024/2025;1;3;1;239
1515;2024/2025;2;12;1;239
1516;2024/2025;3;9;1;239
1517;2024/2025;4;15;1;239
1518;2024/2025;5;5;1;239
1519;2023/2024;1;12;1;239
1520;2023/2024;2;9;1;239
1521;2023/2024;3;15;1;239
1522;2023/2024;4;5;1;239
1523;2023/2024;5;5;1;239
1524;2025/2026;1;38;2;240
1525;2025/2026;2;32;2;240
1526;2025/2026;3;49;3;240
1527;2024/2025;1;32;2;240
1528;2024/2025;2;49;3;240
1529;2024/2025;3;57;3;240
1530;2023/2024;1;51;3;240
1531;2023/2024;2;56;3;240
1532;2023/2024;3;60;3;240
1533;2025/2026;1;6;1;237
1534;2025/2026;2;8;1;237
1535;2025/2026;3;4;1;237
1536;2025/2026;4;8;1;237
1537;2025/2026;5;5;1;237
1538;2024/2025;1;10;1;237
1539;2024/2025;2;4;1;237
1540;2024/2025;3;8;1;237
1541;2024/2025;4;5;1;237
1542;2024/2025;5;10;2;237
1543;2023/2024;1;4;2;237
1544;2023/2024;2;8;1;237
1545;2023/2024;3;5;1;237
1546;2023/2024;4;9;1;237
1547;2023/2024;5;13;1;237
1548;2025/2026;1;51;3;241
1549;2025/2026;2;62;3;241
1550;2025/2026;3;43;2;241
1551;2024/2025;1;63;3;241
1552;2024/2025;2;44;2;241
1553;2024/2025;3;53;3;241
1554;2023/2024;1;44;2;241
1555;2023/2024;2;53;3;241
1556;2023/2024;3;46;2;241
1557;2025/2026;0;45;0;719
1558;2024/2025;0;44;0;719
1559;2023/2024;0;42;0;719
1560;2025/2026;1;14;1;274
1561;2025/2026;2;17;1;274
1562;2025/2026;3;22;1;274
1563;2024/2025;1;19;1;274
1564;2024/2025;2;21;1;274
1565;2024/2025;3;18;1;274
1566;2023/2024;1;21;1;274
1567;2023/2024;2;18;1;274
1568;2023/2024;3;20;1;274
1569;2025/2026;1;13;1;272
1570;2025/2026;2;13;1;272
1571;2025/2026;3;9;1;272
1572;2025/2026;4;14;1;272
1573;2025/2026;5;15;1;272
1574;2024/2025;1;13;1;272
1575;2024/2025;2;8;1;272
1576;2024/2025;3;15;1;272
1577;2024/2025;4;15;1;272
1578;2024/2025;5;16;1;272
1579;2023/2024;1;7;1;272
1580;2023/2024;2;16;1;272
1581;2023/2024;3;15;1;272
1582;2023/2024;4;16;1;272
1583;2023/2024;5;13;1;272
1584;2025/2026;1;15;1;273
1585;2025/2026;2;12;1;273
1586;2025/2026;3;18;1;273
1587;2024/2025;1;12;1;273
1588;2024/2025;2;18;1;273
1589;2024/2025;3;13;1;273
1590;2023/2024;1;18;1;273
1591;2023/2024;2;12;1;273
1592;2023/2024;3;15;1;273
1593;2025/2026;1;21;1;271
1594;2025/2026;2;12;1;271
1595;2025/2026;3;13;1;271
1596;2025/2026;4;13;1;271
1597;2025/2026;5;18;1;271
1598;2024/2025;1;14;1;271
1599;2024/2025;2;12;1;271
1600;2024/2025;3;12;1;271
1601;2024/2025;4;18;1;271
1602;2024/2025;5;13;1;271
1603;2023/2024;1;14;1;271
1604;2023/2024;2;12;1;271
1605;2023/2024;3;18;1;271
1606;2023/2024;4;13;1;271
1607;2023/2024;5;18;1;271
1608;2025/2026;0;56;0;267
1609;2024/2025;0;57;0;267
1610;2023/2024;0;52;0;267
1611;2025/2026;0;9;0;269
1612;2024/2025;0;6;0;269
1613;2023/2024;0;8;0;269
1614;2025/2026;0;17;0;270
1615;2024/2025;0;18;0;270
1616;2023/2024;0;18;0;270
1617;2025/2026;1;48;3;10
1618;2025/2026;2;60;4;10
1619;2025/2026;3;43;4;10
1620;2025/2026;4;25;3;10
1621;2024/2025;1;58;3;10
1622;2024/2025;2;53;3;10
1623;2024/2025;3;48;4;10
1624;2024/2025;4;19;3;10
1625;2023/2024;1;50;3;10
1626;2023/2024;2;44;3;10
1627;2023/2024;3;52;4;10
1628;2023/2024;4;39;3;10
1629;2025/2026;0;28;0;268
1630;2024/2025;0;34;0;268
1631;2023/2024;0;40;0;268
1632;2025/2026;1;93;5;398
1633;2025/2026;2;76;4;398
1634;2025/2026;3;85;4;398
1635;2025/2026;4;79;4;398
1636;2025/2026;5;73;4;398
1637;2024/2025;1;77;4;398
1638;2024/2025;2;86;4;398
1639;2024/2025;3;83;4;398
1640;2024/2025;4;74;4;398
1641;2024/2025;5;79;5;398
1642;2023/2024;1;97;4;398
1643;2023/2024;2;87;4;398
1644;2023/2024;3;77;4;398
1645;2023/2024;4;79;5;398
1646;2023/2024;5;99;5;398
1647;2025/2026;0;49;0;602
1648;2024/2025;0;48;0;602
1649;2023/2024;0;54;0;602
1650;2025/2026;5;13;1;9
1651;2024/2025;5;21;1;9
1652;2025/2026;1;16;1;400
1653;2025/2026;2;27;2;400
1654;2025/2026;3;29;2;400
1655;2025/2026;4;21;1;400
1656;2025/2026;5;23;1;400
1657;2024/2025;1;27;2;400
1658;2024/2025;2;30;2;400
1659;2024/2025;3;21;1;400
1660;2024/2025;4;22;1;400
1661;2024/2025;5;21;1;400
1662;2023/2024;1;29;2;400
1663;2023/2024;2;21;1;400
1664;2023/2024;3;22;1;400
1665;2023/2024;4;21;1;400
1666;2023/2024;5;20;1;400
1667;2025/2026;1;3;1;397
1668;2025/2026;2;7;1;397
1669;2025/2026;3;2;1;397
1670;2025/2026;4;4;1;397
1671;2025/2026;5;8;1;397
1672;2024/2025;1;7;1;397
1673;2024/2025;2;2;1;397
1674;2024/2025;3;4;1;397
1675;2024/2025;4;7;1;397
1676;2024/2025;5;11;1;397
1677;2023/2024;1;3;1;397
1678;2023/2024;2;4;1;397
1679;2023/2024;3;8;1;397
1680;2023/2024;4;11;1;397
1681;2023/2024;5;9;1;397
1682;2025/2026;1;19;1;402
1683;2025/2026;2;12;1;402
1684;2025/2026;3;30;2;402
1685;2025/2026;4;20;1;402
1686;2025/2026;5;25;1;402
1687;2024/2025;1;11;1;402
1688;2024/2025;2;32;2;402
1689;2024/2025;3;20;1;402
1690;2024/2025;4;25;1;402
1691;2024/2025;5;23;1;402
1692;2023/2024;1;31;2;402
1693;2023/2024;2;20;1;402
1694;2023/2024;3;26;1;402
