index;academic year;school year;number of students;number of classes;school
199;2024/2025;3;16;1;405
200;2024/2025;4;19;1;405
201;2024/2025;5;16;1;405
202;2023/2024;1;17;1;405
203;2023/2024;2;16;1;405
204;2023/2024;3;19;1;405
205;2023/2024;4;15;1;405
206;2023/2024;5;13;1;405
207;2025/2026;1;129;6;408
208;2025/2026;2;137;6;408
209;2025/2026;3;156;7;408
210;2024/2025;1;139;6;408
211;2024/2025;2;159;7;408
212;2024/2025;3;172;7;408
213;2023/2024;1;161;7;408
214;2023/2024;2;171;7;408
215;2023/2024;3;134;6;408
216;2025/2026;1;15;1;404
217;2025/2026;2;21;1;404
218;2025/2026;3;20;1;404
219;2025/2026;4;20;1;404
220;2025/2026;5;22;1;404
221;2024/2025;1;21;1;404
222;2024/2025;2;20;1;404
223;2024/2025;3;21;1;404
224;2024/2025;4;23;1;404
225;2024/2025;5;27;2;404
226;2023/2024;1;21;1;404
227;2023/2024;2;21;1;404
228;2023/2024;3;23;1;404
229;2023/2024;4;27;2;404
230;2023/2024;5;28;2;404
231;2025/2026;1;71;4;406
232;2025/2026;2;67;4;406
233;2025/2026;3;64;3;406
234;2025/2026;4;76;4;406
235;2025/2026;5;63;3;406
236;2024/2025;1;70;4;406
237;2024/2025;2;64;3;406
238;2024/2025;3;76;4;406
239;2024/2025;4;61;3;406
240;2024/2025;5;53;3;406
241;2023/2024;1;64;3;406
242;2023/2024;2;77;4;406
243;2023/2024;3;63;3;406
244;2023/2024;4;52;3;406
245;2023/2024;5;77;4;406
246;2025/2026;1;43;2;407
247;2025/2026;2;37;2;407
248;2025/2026;3;32;2;407
249;2025/2026;4;41;2;407
250;2025/2026;5;44;2;407
251;2024/2025;1;37;2;407
252;2024/2025;2;33;2;407
253;2024/2025;3;43;2;407
254;2024/2025;4;45;2;407
255;2024/2025;5;38;2;407
256;2023/2024;1;37;2;407
257;2023/2024;2;44;2;407
258;2023/2024;3;47;2;407
259;2023/2024;4;39;2;407
260;2023/2024;5;52;3;407
261;2025/2026;1;14;1;311
262;2025/2026;2;11;1;311
263;2025/2026;3;16;1;311
264;2025/2026;4;13;1;311
265;2025/2026;5;24;1;311
266;2024/2025;1;10;1;311
267;2024/2025;2;17;1;311
268;2024/2025;3;12;1;311
269;2024/2025;4;24;1;311
270;2024/2025;5;14;1;311
271;2023/2024;1;17;1;311
272;2023/2024;2;13;1;311
273;2023/2024;3;23;1;311
274;2023/2024;4;13;1;311
275;2023/2024;5;21;1;311
276;2025/2026;1;68;3;308
277;2025/2026;2;66;3;308
278;2025/2026;3;72;3;308
279;2025/2026;4;72;3;308
280;2025/2026;5;75;4;308
281;2024/2025;1;64;3;308
282;2024/2025;2;71;3;308
283;2024/2025;3;70;3;308
284;2024/2025;4;74;4;308
285;2024/2025;5;75;4;308
286;2023/2024;1;74;3;308
287;2023/2024;2;68;3;308
288;2023/2024;3;74;4;308
289;2023/2024;4;76;4;308
290;2023/2024;5;90;4;308
291;2025/2026;1;5;1;310
292;2025/2026;2;5;1;310
293;2025/2026;3;7;1;310
294;2025/2026;4;6;1;310
295;2025/2026;5;6;1;310
296;2024/2025;1;6;1;310
297;2024/2025;2;7;1;310
298;2024/2025;3;8;1;310
299;2024/2025;4;8;1;310
300;2024/2025;5;5;1;310
301;2023/2024;1;7;1;310
302;2023/2024;2;8;1;310
303;2023/2024;3;8;1;310
304;2023/2024;4;5;1;310
305;2023/2024;5;9;1;310
306;2025/2026;1;5;1;309
307;2025/2026;2;9;1;309
308;2025/2026;3;7;1;309
309;2025/2026;4;5;1;309
310;2025/2026;5;1;1;309
311;2024/2025;1;9;1;309
312;2024/2025;2;7;1;309
313;2024/2025;3;6;1;309
314;2024/2025;4;1;1;309
315;2024/2025;5;6;1;309
316;2023/2024;1;7;1;309
317;2023/2024;2;7;1;309
318;2023/2024;3;1;1;309
319;2023/2024;4;6;1;309
320;2025/2026;1;12;1;312
321;2025/2026;2;9;1;312
322;2025/2026;3;14;1;312
323;2025/2026;4;12;1;312
324;2025/2026;5;17;1;312
325;2024/2025;1;10;1;312
326;2024/2025;2;13;1;312
327;2024/2025;3;13;1;312
328;2024/2025;4;17;1;312
329;2024/2025;5;10;1;312
330;2023/2024;1;12;1;312
331;2023/2024;2;13;1;312
332;2023/2024;3;19;1;312
333;2023/2024;4;9;1;312
334;2023/2024;5;21;1;312
335;2025/2026;1;87;4;314
336;2025/2026;2;114;5;314
337;2025/2026;3;98;4;314
338;2024/2025;1;111;5;314
339;2024/2025;2;95;4;314
340;2024/2025;3;92;4;314
341;2023/2024;1;93;4;314
342;2023/2024;2;90;4;314
343;2023/2024;3;96;5;314
344;2025/2026;1;12;1;313
345;2025/2026;2;15;1;313
346;2025/2026;3;12;1;313
347;2025/2026;4;12;1;313
348;2025/2026;5;15;1;313
349;2024/2025;1;15;1;313
350;2024/2025;2;13;1;313
351;2024/2025;3;12;1;313
352;2024/2025;4;15;1;313
353;2024/2025;5;14;1;313
354;2023/2024;1;14;1;313
355;2023/2024;2;12;1;313
356;2023/2024;3;15;1;313
357;2023/2024;4;15;1;313
358;2023/2024;5;19;1;313
359;2025/2026;0;27;0;615
360;2024/2025;0;29;0;615
361;2023/2024;0;26;0;615
362;2025/2026;0;24;0;643
363;2024/2025;0;26;0;643
364;2023/2024;0;30;0;643
365;2025/2026;1;12;1;316
366;2025/2026;2;20;1;316
367;2025/2026;3;26;2;316
368;2024/2025;1;19;1;316
369;2024/2025;2;26;2;316
370;2024/2025;3;15;1;316
371;2023/2024;1;25;2;316
372;2023/2024;2;14;1;316
373;2023/2024;3;18;1;316
374;2025/2026;0;77;0;609
375;2024/2025;0;79;0;609
376;2023/2024;0;80;0;609
377;2025/2026;1;23;1;315
