s,name
http://knowdive.disi.unitn.it/etype#School/465,educazione per adulti relativa al primo ciclo
http://knowdive.disi.unitn.it/etype#School/552,educazione per adulti relativa al primo ciclo
http://knowdive.disi.unitn.it/etype#School/538,istituto tecnico per il settore tecnologico
http://knowdive.disi.unitn.it/etype#School/652,"scuola dell'infanzia di pergine  ""g.b. chimelli"""
http://knowdive.disi.unitn.it/etype#School/520,istituto tecnico per il settore economico
http://knowdive.disi.unitn.it/etype#School/623,"scuola dell'infanzia di lavis  ""madre maddalena di canossa odv"""
http://knowdive.disi.unitn.it/etype#School/470,educazione per adulti relativa al primo ciclo
http://knowdive.disi.unitn.it/etype#School/639,scuola dell'infanzia di mezzolombardo
http://knowdive.disi.unitn.it/etype#School/531,educazione per adulti relativa al primo ciclo
http://knowdive.disi.unitn.it/etype#School/536,istituto tecnico per il settore tecnologico
http://knowdive.disi.unitn.it/etype#School/26,settore industria e artigianato
http://knowdive.disi.unitn.it/etype#School/101,"scuola dell'infanzia di trento  mattarello  ""il castello"""
http://knowdive.disi.unitn.it/etype#School/396,"scuola secondaria di primo grado ""g. bresadola"" trento"
http://knowdive.disi.unitn.it/etype#School/85,"scuola dell'infanzia di levico terme ""taita marcos"""
http://knowdive.disi.unitn.it/etype#School/589,scuola dell'infanzia di borgo valsugana
http://knowdive.disi.unitn.it/etype#School/645,scuola dell'infanzia di mori
http://knowdive.disi.unitn.it/etype#School/521,istituto tecnico per il settore economico serale
http://knowdive.disi.unitn.it/etype#School/302,"scuola secondaria di primo grado ""g. b. de gasparis"" levico terme"
http://knowdive.disi.unitn.it/etype#School/339,"scuola secondaria di primo grado ""d. chiesa"" riva del garda"
http://knowdive.disi.unitn.it/etype#School/554,liceo delle scienze umane
