s,n
http://knowdive.disi.unitn.it/etype#School/4,asilo colle fiorito
http://knowdive.disi.unitn.it/etype#School/29,capes - settore servizi
http://knowdive.disi.unitn.it/etype#School/30,settore servizi
http://knowdive.disi.unitn.it/etype#School/38,capes - settore servizi
http://knowdive.disi.unitn.it/etype#School/39,settore servizi
http://knowdive.disi.unitn.it/etype#School/62,"scuola dell'infanzia di rovereto  s.ilario ""amici della scuola"""
http://knowdive.disi.unitn.it/etype#School/63,scuola dell'infanzia di rovereto brione
http://knowdive.disi.unitn.it/etype#School/64,"scuola dell'infanzia di rovereto rione nord ""mille colori"""
http://knowdive.disi.unitn.it/etype#School/140,"scuola dell'infanzia di rovereto ""c. battisti"""
http://knowdive.disi.unitn.it/etype#School/141,scuola dell'infanzia di rovereto fucine
http://knowdive.disi.unitn.it/etype#School/142,"scuola dell'infanzia di rovereto lizzana  ""girogirotondo"""
http://knowdive.disi.unitn.it/etype#School/143,scuola dell'infanzia di rovereto noriglio
http://knowdive.disi.unitn.it/etype#School/144,"scuola dell'infanzia di rovereto rione sud  ""il giardino incantato"""
http://knowdive.disi.unitn.it/etype#School/145,"scuola dell'infanzia di rovereto san giorgio   ""don a. rossaro"""
http://knowdive.disi.unitn.it/etype#School/154,liceo linguistico arcivescovile dame inglesi - rovereto
http://knowdive.disi.unitn.it/etype#School/155,scuola primaria arcivescovile dame inglesi rovereto
http://knowdive.disi.unitn.it/etype#School/156,scuola secondaria di primo grado arcivescovile dame inglesi rovereto
http://knowdive.disi.unitn.it/etype#School/182,"scuola secondaria di primo grado ""alta vallagarina"" volano"
http://knowdive.disi.unitn.it/etype#School/291,"scuola primaria ""f.lli filzi"" rovereto"
http://knowdive.disi.unitn.it/etype#School/293,"scuola secondaria di primo grado ""a. degasperi"" rovereto"
http://knowdive.disi.unitn.it/etype#School/346,"scuola primaria ""regina elena"" rovereto"
http://knowdive.disi.unitn.it/etype#School/348,"scuola secondaria di primo grado ""d. chiesa"" rovereto"
http://knowdive.disi.unitn.it/etype#School/349,"scuola primaria ""d. chiesa"" noriglio"
http://knowdive.disi.unitn.it/etype#School/350,"scuola primaria ""m. k. gandhi"" rovereto"
http://knowdive.disi.unitn.it/etype#School/351,"scuola secondaria di primo grado ""l. negrelli"" rovereto"
http://knowdive.disi.unitn.it/etype#School/352,"scuola primaria ""a. rosmini"" marco"
http://knowdive.disi.unitn.it/etype#School/353,"scuola primaria ""d. alighieri"" rovereto"
http://knowdive.disi.unitn.it/etype#School/354,"scuola primaria ""f. guella"" lizzana"
http://knowdive.disi.unitn.it/etype#School/355,"scuola secondaria di primo grado ""f. halbherr"" rovereto"
http://knowdive.disi.unitn.it/etype#School/447,capes - settore servizi
http://knowdive.disi.unitn.it/etype#School/448,settore industria e artigianato
http://knowdive.disi.unitn.it/etype#School/449,settore servizi
http://knowdive.disi.unitn.it/etype#School/450,settore servizi serale
http://knowdive.disi.unitn.it/etype#School/465,educazione per adulti relativa al primo ciclo
http://knowdive.disi.unitn.it/etype#School/466,istituto professionale per il settore dei servizi
http://knowdive.disi.unitn.it/etype#School/467,istituto professionale per il settore dei servizi serale
http://knowdive.disi.unitn.it/etype#School/468,istituto tecnico per il settore economico
http://knowdive.disi.unitn.it/etype#School/469,istituto tecnico per il settore economico serale
http://knowdive.disi.unitn.it/etype#School/527,istituto tecnico per il settore economico
http://knowdive.disi.unitn.it/etype#School/528,istituto tecnico per il settore economico serale
http://knowdive.disi.unitn.it/etype#School/529,istituto tecnico per il settore tecnologico
http://knowdive.disi.unitn.it/etype#School/530,istituto tecnico per il settore tecnologico serale
http://knowdive.disi.unitn.it/etype#School/536,istituto tecnico per il settore tecnologico
http://knowdive.disi.unitn.it/etype#School/537,istituto tecnico per il settore tecnologico serale
http://knowdive.disi.unitn.it/etype#School/546,liceo classico
http://knowdive.disi.unitn.it/etype#School/547,liceo linguistico
http://knowdive.disi.unitn.it/etype#School/548,liceo scientifico
http://knowdive.disi.unitn.it/etype#School/549,liceo scientifico opzione scienze applicate
http://knowdive.disi.unitn.it/etype#School/564,liceo delle scienze umane
http://knowdive.disi.unitn.it/etype#School/565,liceo delle scienze umane opzione economico sociale
http://knowdive.disi.unitn.it/etype#School/567,"liceo artistico ""depero""- rovereto"
http://knowdive.disi.unitn.it/etype#School/575,capes - settore industria e artigianato
http://knowdive.disi.unitn.it/etype#School/576,liceo scientifico opzione scienze applicate steam
http://knowdive.disi.unitn.it/etype#School/577,settore industria e artigianato
http://knowdive.disi.unitn.it/etype#School/578,settore industria e artigianato serale
http://knowdive.disi.unitn.it/etype#School/588,scuola dell'infanzia di borgo sacco
http://knowdive.disi.unitn.it/etype#School/624,"scuola dell'infanzia di lizzana ""asilo infantile di lizzana odv"""
http://knowdive.disi.unitn.it/etype#School/625,"scuola dell'infanzia di lizzanella ""asilo infantile di lizzanella odv"""
http://knowdive.disi.unitn.it/etype#School/631,"scuola dell'infanzia di marco-rovereto ""g. e a. rosmini-serbati odv"""
http://knowdive.disi.unitn.it/etype#School/673,"scuola dell'infanzia di rovereto ""clementino vannetti odv"""
http://knowdive.disi.unitn.it/etype#School/674,"scuola dell'infanzia di rovereto ""rosmini"""
http://knowdive.disi.unitn.it/etype#School/738,"scuola primaria ""la vela"" rovereto"
http://knowdive.disi.unitn.it/etype#School/739,"scuola secondaria di primo grado ""la vela"" rovereto"
