main institute;school;miur code;entity;address;miur code list;school count;check
centro formazione professionale upt - cles;capes - settore servizi;tncf00600v;school;via d agostin, 2 38023;tncf00600v|tnfp262sta;2;0
centro formazione professionale upt - cles;settore servizi;tnfp262sta;school;via d agostin, 2 38023;tncf00600v|tnfp262sta;2;0
centro formazione professionale upt - rovereto;;;institute;via pasqui, 10 38068;tnfp000001|tncf00900a;2;0
centro formazione professionale upt - rovereto;capes - settore servizi;tncf00900a;school;via pasqui, 10 38068;tnfp000001|tncf00900a;2;0
centro formazione professionale upt - rovereto;settore servizi;tnfp000001;school;via pasqui, 10 38068;tnfp000001|tncf00900a;2;0
centro formazione professionale upt - tione di trento;;;institute;via roma, 15 38079;tncf00700p|tnfp263sta;2;0
centro formazione professionale upt - tione di trento;capes - settore servizi;tncf00700p;school;via roma, 15 38079;tncf00700p|tnfp263sta;2;0
centro formazione professionale upt - tione di trento;settore servizi;tnfp263sta;school;via roma, 15 38079;tncf00700p|tnfp263sta;2;0
centro formazione professionale upt - trento;;tncf003001;institute;via borsieri, 2 38122;tncf003001;3;2
centro formazione professionale upt - trento;capes - settore servizi;tncf003001;school;viale verona, 141 38123;tncf003001;3;2
centro formazione professionale upt - trento;settore servizi;tncf003001;school;via borsieri, 2 38122;tncf003001;3;2
centro formazione professionale upt - trento;settore servizi serale;;school;via borsieri, 2 38122;tncf003001;3;2
circolo di coordinamento n. 1;;;institute;viale dante, 5 38057;"";12;12
circolo di coordinamento n. 1;scuola dell'infanzia di baselga di piné;;school;via del municipio vecchio, 2 38042;"";12;12
circolo di coordinamento n. 1;"scuola dell'infanzia di capriana ""maddalena lazzeri""";;school;piazza scuole, 3 38030;"";12;12
circolo di coordinamento n. 1;scuola dell'infanzia di casatta;;school;frazione casatta, 54 38040;"";12;12
circolo di coordinamento n. 1;scuola dell'infanzia di civezzano;;school;via telvana, 4 38045;"";12;12
circolo di coordinamento n. 1;scuola dell'infanzia di daiano-varena;;school;via mercato - varena, 22 38030;"";12;12
circolo di coordinamento n. 1;"scuola dell'infanzia di fierozzo ""himblring""";;school;maso ronca, 9 38050;"";12;12
circolo di coordinamento n. 1;scuola dell'infanzia di miola di pinè;;school;via del dos di miola, 13 38042;"";12;12
circolo di coordinamento n. 1;scuola dell'infanzia di molina di fiemme;;school;via segherie, 64/c 38030;"";12;12
circolo di coordinamento n. 1;scuola dell'infanzia di piazze;;school;via vittorino da feltre, 24 38043;"";12;12
circolo di coordinamento n. 1;"scuola dell'infanzia di rizzolaga di pinè ""raggio di sole""";;school;frazione rizzolaga, 94 38042;"";12;12
circolo di coordinamento n. 1;"scuola dell'infanzia di s. orsola ""il girotondo""";;school;localita pintarei, 9 38050;"";12;12
circolo di coordinamento n. 1;"scuola dell'infanzia di seregnano ""arcobaleno""";;school;via alla villa wolf - rovere, 4 38045;"";12;12
circolo di coordinamento n. 10;;;institute;viale trento, 37/e 38068;"";8;8
circolo di coordinamento n. 10;scuola dell'infanzia di besenello;;school;via vanzetti, 3 38060;"";8;8
circolo di coordinamento n. 10;"scuola dell'infanzia di calliano ""matite colorate""";;school;via iii novembre, 33 38060;"";8;8
circolo di coordinamento n. 10;scuola dell'infanzia di isera;;school;vicolo zandonai,   38060;"";8;8
circolo di coordinamento n. 10;scuola dell'infanzia di nogaredo;;school;via verdi, 38 38060;"";8;8
circolo di coordinamento n. 10;"scuola dell'infanzia di pomarolo  ""don rainoldi""";;school;via g.b. adami, 10 38060;"";8;8
circolo di coordinamento n. 10;"scuola dell'infanzia di rovereto  s.ilario ""amici della scuola""";;school;via monti, 4a 38068;"";8;8
circolo di coordinamento n. 10;scuola dell'infanzia di rovereto brione;;school;via puccini, 26 38068;"";8;8
circolo di coordinamento n. 10;"scuola dell'infanzia di rovereto rione nord ""mille colori""";;school;via chiocchetti, 1 38068;"";8;8
circolo di coordinamento n. 11;;;institute;via della gana, 10 38027;"";13;13
circolo di coordinamento n. 11;scuola dell'infanzia di castelfondo;;school;via madonna pellegrina, 5 38020;"";13;13
circolo di coordinamento n. 11;"scuola dell'infanzia di cavareno ""peter pan""";;school;via castelli, 1 38011;"";13;13
circolo di coordinamento n. 11;scuola dell'infanzia di cogolo;;school;via roma, 83 38024;"";13;13
circolo di coordinamento n. 11;"scuola dell'infanzia di livo ""battito d'ali""";;school;via marconi, 17 38020;"";13;13
circolo di coordinamento n. 11;"scuola dell'infanzia di mezzana ""a. ravelli""";;school;via manzoni, 22 38020;"";13;13
