vivoscuola school link;academic year;school year;number of students;number of classes
https://www.vivoscuola.it/content/view/full/29634;2023/2024;1;11;1
https://www.vivoscuola.it/content/view/full/29634;2023/2024;2;17;1
https://www.vivoscuola.it/content/view/full/29634;2023/2024;3;27;2
https://www.vivoscuola.it/content/view/full/29634;2023/2024;4;18;1
https://www.vivoscuola.it/content/view/full/29634;2023/2024;5;21;1
https://www.vivoscuola.it/content/view/full/29514;2025/2026;1;16;1
https://www.vivoscuola.it/content/view/full/29514;2025/2026;2;9;1
https://www.vivoscuola.it/content/view/full/29514;2025/2026;3;24;1
https://www.vivoscuola.it/content/view/full/29514;2025/2026;4;20;1
https://www.vivoscuola.it/content/view/full/29514;2025/2026;5;16;1
https://www.vivoscuola.it/content/view/full/29514;2024/2025;1;11;1
https://www.vivoscuola.it/content/view/full/29514;2024/2025;2;24;1
https://www.vivoscuola.it/content/view/full/29514;2024/2025;3;21;1
https://www.vivoscuola.it/content/view/full/29514;2024/2025;4;16;1
https://www.vivoscuola.it/content/view/full/29514;2024/2025;5;20;1
https://www.vivoscuola.it/content/view/full/29514;2023/2024;1;24;1
https://www.vivoscuola.it/content/view/full/29514;2023/2024;2;20;1
https://www.vivoscuola.it/content/view/full/29514;2023/2024;3;16;1
https://www.vivoscuola.it/content/view/full/29514;2023/2024;4;18;1
https://www.vivoscuola.it/content/view/full/29514;2023/2024;5;23;1
https://www.vivoscuola.it/content/view/full/29516;2025/2026;1;57;3
https://www.vivoscuola.it/content/view/full/29516;2025/2026;2;65;3
https://www.vivoscuola.it/content/view/full/29516;2025/2026;3;52;3
https://www.vivoscuola.it/content/view/full/29516;2024/2025;1;64;3
https://www.vivoscuola.it/content/view/full/29516;2024/2025;2;55;3
https://www.vivoscuola.it/content/view/full/29516;2024/2025;3;60;3
https://www.vivoscuola.it/content/view/full/29516;2023/2024;1;55;3
https://www.vivoscuola.it/content/view/full/29516;2023/2024;2;59;3
https://www.vivoscuola.it/content/view/full/29516;2023/2024;3;48;3
https://www.vivoscuola.it/content/view/full/30030;2025/2026;0;78;0
https://www.vivoscuola.it/content/view/full/30030;2024/2025;0;68;0
https://www.vivoscuola.it/content/view/full/30030;2023/2024;0;79;0
https://www.vivoscuola.it/content/view/full/29513;2025/2026;1;18;1
https://www.vivoscuola.it/content/view/full/29513;2025/2026;2;20;1
https://www.vivoscuola.it/content/view/full/29513;2025/2026;3;26;2
https://www.vivoscuola.it/content/view/full/29513;2025/2026;4;20;1
https://www.vivoscuola.it/content/view/full/29513;2025/2026;5;14;1
https://www.vivoscuola.it/content/view/full/29513;2024/2025;1;20;1
https://www.vivoscuola.it/content/view/full/29513;2024/2025;2;27;2
https://www.vivoscuola.it/content/view/full/29513;2024/2025;3;21;1
https://www.vivoscuola.it/content/view/full/29513;2024/2025;4;15;1
https://www.vivoscuola.it/content/view/full/29513;2024/2025;5;27;2
https://www.vivoscuola.it/content/view/full/29513;2023/2024;1;26;2
https://www.vivoscuola.it/content/view/full/29513;2023/2024;2;21;1
https://www.vivoscuola.it/content/view/full/29513;2023/2024;3;15;1
https://www.vivoscuola.it/content/view/full/29513;2023/2024;4;28;2
https://www.vivoscuola.it/content/view/full/29513;2023/2024;5;31;2
https://www.vivoscuola.it/content/view/full/30010;2025/2026;0;68;0
https://www.vivoscuola.it/content/view/full/30010;2024/2025;0;56;0
https://www.vivoscuola.it/content/view/full/30010;2023/2024;0;49;0
https://www.vivoscuola.it/content/view/full/29515;2025/2026;1;17;1
https://www.vivoscuola.it/content/view/full/29515;2025/2026;2;12;1
https://www.vivoscuola.it/content/view/full/29515;2025/2026;3;15;1
https://www.vivoscuola.it/content/view/full/29515;2025/2026;4;18;1
https://www.vivoscuola.it/content/view/full/29515;2025/2026;5;11;1
https://www.vivoscuola.it/content/view/full/29515;2024/2025;1;13;1
https://www.vivoscuola.it/content/view/full/29515;2024/2025;2;13;1
https://www.vivoscuola.it/content/view/full/29515;2024/2025;3;19;1
https://www.vivoscuola.it/content/view/full/29515;2024/2025;4;12;1
https://www.vivoscuola.it/content/view/full/29515;2024/2025;5;15;1
https://www.vivoscuola.it/content/view/full/29515;2023/2024;1;14;1
https://www.vivoscuola.it/content/view/full/29515;2023/2024;2;18;1
https://www.vivoscuola.it/content/view/full/29515;2023/2024;3;12;1
https://www.vivoscuola.it/content/view/full/29515;2023/2024;4;14;1
https://www.vivoscuola.it/content/view/full/29515;2023/2024;5;14;1
https://www.vivoscuola.it/content/view/full/29980;2025/2026;0;44;0
https://www.vivoscuola.it/content/view/full/29980;2024/2025;0;43;0
https://www.vivoscuola.it/content/view/full/29980;2023/2024;0;41;0
https://www.vivoscuola.it/content/view/full/29517;2025/2026;1;19;1
https://www.vivoscuola.it/content/view/full/29517;2025/2026;2;20;1
https://www.vivoscuola.it/content/view/full/29517;2025/2026;3;16;1
https://www.vivoscuola.it/content/view/full/29517;2024/2025;1;20;1
https://www.vivoscuola.it/content/view/full/29517;2024/2025;2;15;1
https://www.vivoscuola.it/content/view/full/29517;2024/2025;3;31;2
https://www.vivoscuola.it/content/view/full/29517;2023/2024;1;16;1
https://www.vivoscuola.it/content/view/full/29517;2023/2024;2;30;2
https://www.vivoscuola.it/content/view/full/29517;2023/2024;3;11;1
https://www.vivoscuola.it/content/view/full/29996;2025/2026;0;36;0
https://www.vivoscuola.it/content/view/full/29996;2024/2025;0;35;0
https://www.vivoscuola.it/content/view/full/29996;2023/2024;0;41;0
https://www.vivoscuola.it/content/view/full/30084;2025/2026;0;42;0
https://www.vivoscuola.it/content/view/full/30084;2024/2025;0;48;0
https://www.vivoscuola.it/content/view/full/30084;2023/2024;0;52;0
https://www.vivoscuola.it/content/view/full/30056;2025/2026;0;8;0
https://www.vivoscuola.it/content/view/full/30056;2024/2025;0;12;0
https://www.vivoscuola.it/content/view/full/30056;2023/2024;0;12;0
https://www.vivoscuola.it/content/view/full/30050;2025/2026;0;52;0
https://www.vivoscuola.it/content/view/full/30050;2024/2025;0;51;0
https://www.vivoscuola.it/content/view/full/30050;2023/2024;0;46;0
https://www.vivoscuola.it/content/view/full/30048;2025/2026;0;58;0
https://www.vivoscuola.it/content/view/full/30048;2024/2025;0;62;0
https://www.vivoscuola.it/content/view/full/30048;2023/2024;0;60;0
https://www.vivoscuola.it/content/view/full/141892;2025/2026;0;76;0
https://www.vivoscuola.it/content/view/full/141892;2024/2025;0;86;0
https://www.vivoscuola.it/content/view/full/141892;2023/2024;0;73;0
https://www.vivoscuola.it/content/view/full/30074;2025/2026;0;22;0
https://www.vivoscuola.it/content/view/full/30074;2024/2025;0;25;0
https://www.vivoscuola.it/content/view/full/30074;2023/2024;0;26;0
https://www.vivoscuola.it/content/view/full/29713;2025/2026;1;16;1
https://www.vivoscuola.it/content/view/full/29713;2025/2026;2;16;1
https://www.vivoscuola.it/content/view/full/29713;2025/2026;3;17;1
https://www.vivoscuola.it/content/view/full/29713;2025/2026;4;16;1
https://www.vivoscuola.it/content/view/full/29713;2025/2026;5;19;1
https://www.vivoscuola.it/content/view/full/29713;2024/2025;1;17;1
https://www.vivoscuola.it/content/view/full/29713;2024/2025;2;18;1
https://www.vivoscuola.it/content/view/full/29713;2024/2025;3;16;1
https://www.vivoscuola.it/content/view/full/29713;2024/2025;4;19;1
https://www.vivoscuola.it/content/view/full/29713;2024/2025;5;16;1
https://www.vivoscuola.it/content/view/full/29713;2023/2024;1;17;1
https://www.vivoscuola.it/content/view/full/29713;2023/2024;2;16;1
https://www.vivoscuola.it/content/view/full/29713;2023/2024;3;19;1
https://www.vivoscuola.it/content/view/full/29713;2023/2024;4;15;1
https://www.vivoscuola.it/content/view/full/29713;2023/2024;5;13;1
https://www.vivoscuola.it/content/view/full/29716;2025/2026;1;129;6
https://www.vivoscuola.it/content/view/full/29716;2025/2026;2;137;6
https://www.vivoscuola.it/content/view/full/29716;2025/2026;3;156;7
https://www.vivoscuola.it/content/view/full/29716;2024/2025;1;139;6
https://www.vivoscuola.it/content/view/full/29716;2024/2025;2;159;7
https://www.vivoscuola.it/content/view/full/29716;2024/2025;3;172;7
https://www.vivoscuola.it/content/view/full/29716;2023/2024;1;161;7
https://www.vivoscuola.it/content/view/full/29716;2023/2024;2;171;7
https://www.vivoscuola.it/content/view/full/29716;2023/2024;3;134;6
https://www.vivoscuola.it/content/view/full/29712;2025/2026;1;15;1
https://www.vivoscuola.it/content/view/full/29712;2025/2026;2;21;1
https://www.vivoscuola.it/content/view/full/29712;2025/2026;3;20;1
https://www.vivoscuola.it/content/view/full/29712;2025/2026;4;20;1
