vivoscuola school link;academic year;school year;admission rate
https://www.vivoscuola.it/content/view/full/29512;2022/2023;5;100.0
https://www.vivoscuola.it/content/view/full/29512;2023/2024;1;87.5
https://www.vivoscuola.it/content/view/full/29512;2023/2024;2;100.0
https://www.vivoscuola.it/content/view/full/29512;2023/2024;3;100.0
https://www.vivoscuola.it/content/view/full/29512;2023/2024;4;100.0
https://www.vivoscuola.it/content/view/full/29512;2023/2024;5;100.0
https://www.vivoscuola.it/content/view/full/29512;2024/2025;1;100.0
https://www.vivoscuola.it/content/view/full/29512;2024/2025;2;100.0
https://www.vivoscuola.it/content/view/full/29512;2024/2025;3;100.0
https://www.vivoscuola.it/content/view/full/29512;2024/2025;4;100.0
https://www.vivoscuola.it/content/view/full/29512;2024/2025;5;100.0
https://www.vivoscuola.it/content/view/full/29634;2022/2023;1;100.0
https://www.vivoscuola.it/content/view/full/29634;2022/2023;2;100.0
https://www.vivoscuola.it/content/view/full/29634;2022/2023;3;100.0
https://www.vivoscuola.it/content/view/full/29634;2022/2023;4;100.0
https://www.vivoscuola.it/content/view/full/29634;2022/2023;5;100.0
https://www.vivoscuola.it/content/view/full/29634;2023/2024;1;100.0
https://www.vivoscuola.it/content/view/full/29634;2023/2024;2;100.0
https://www.vivoscuola.it/content/view/full/29634;2023/2024;3;100.0
https://www.vivoscuola.it/content/view/full/29634;2023/2024;4;100.0
https://www.vivoscuola.it/content/view/full/29634;2023/2024;5;100.0
https://www.vivoscuola.it/content/view/full/29634;2024/2025;1;100.0
https://www.vivoscuola.it/content/view/full/29634;2024/2025;2;100.0
https://www.vivoscuola.it/content/view/full/29634;2024/2025;3;100.0
https://www.vivoscuola.it/content/view/full/29634;2024/2025;4;100.0
https://www.vivoscuola.it/content/view/full/29634;2024/2025;5;100.0
https://www.vivoscuola.it/content/view/full/29514;2022/2023;1;100.0
https://www.vivoscuola.it/content/view/full/29514;2022/2023;2;100.0
https://www.vivoscuola.it/content/view/full/29514;2022/2023;3;100.0
https://www.vivoscuola.it/content/view/full/29514;2022/2023;4;100.0
https://www.vivoscuola.it/content/view/full/29514;2022/2023;5;100.0
https://www.vivoscuola.it/content/view/full/29514;2023/2024;1;100.0
https://www.vivoscuola.it/content/view/full/29514;2023/2024;2;100.0
https://www.vivoscuola.it/content/view/full/29514;2023/2024;3;100.0
https://www.vivoscuola.it/content/view/full/29514;2023/2024;4;100.0
https://www.vivoscuola.it/content/view/full/29514;2023/2024;5;100.0
https://www.vivoscuola.it/content/view/full/29514;2024/2025;1;100.0
https://www.vivoscuola.it/content/view/full/29514;2024/2025;2;100.0
https://www.vivoscuola.it/content/view/full/29514;2024/2025;3;100.0
https://www.vivoscuola.it/content/view/full/29514;2024/2025;4;100.0
https://www.vivoscuola.it/content/view/full/29514;2024/2025;5;100.0
https://www.vivoscuola.it/content/view/full/29516;2022/2023;1;100.0
https://www.vivoscuola.it/content/view/full/29516;2022/2023;2;100.0
https://www.vivoscuola.it/content/view/full/29516;2022/2023;3;100.0
https://www.vivoscuola.it/content/view/full/29516;2023/2024;1;98.18181818181819
https://www.vivoscuola.it/content/view/full/29516;2023/2024;2;100.0
https://www.vivoscuola.it/content/view/full/29516;2023/2024;3;100.0
https://www.vivoscuola.it/content/view/full/29516;2024/2025;1;100.0
https://www.vivoscuola.it/content/view/full/29516;2024/2025;2;98.18181818181819
https://www.vivoscuola.it/content/view/full/29516;2024/2025;3;100.0
https://www.vivoscuola.it/content/view/full/29513;2022/2023;1;100.0
https://www.vivoscuola.it/content/view/full/29513;2022/2023;2;100.0
https://www.vivoscuola.it/content/view/full/29513;2022/2023;3;100.0
https://www.vivoscuola.it/content/view/full/29513;2022/2023;4;100.0
https://www.vivoscuola.it/content/view/full/29513;2022/2023;5;100.0
https://www.vivoscuola.it/content/view/full/29513;2023/2024;1;100.0
https://www.vivoscuola.it/content/view/full/29513;2023/2024;2;100.0
https://www.vivoscuola.it/content/view/full/29513;2023/2024;3;100.0
https://www.vivoscuola.it/content/view/full/29513;2023/2024;4;100.0
https://www.vivoscuola.it/content/view/full/29513;2023/2024;5;100.0
https://www.vivoscuola.it/content/view/full/29513;2024/2025;1;100.0
https://www.vivoscuola.it/content/view/full/29513;2024/2025;2;100.0
https://www.vivoscuola.it/content/view/full/29513;2024/2025;3;100.0
https://www.vivoscuola.it/content/view/full/29513;2024/2025;4;100.0
